session_date,ticker,fetched_at_utc,payload_timestamp,current_price,close,prev_day_close,open,high,low,volume,iv30,iv30_change,last_trade_time,seqno
2026-08-21,_SPX,2026-08-21T21:58:41Z,2026-08-21 21:58:25,7674.3701,7674.3701,7641.1602,7665.6802,7697.1099,7660.0601,0,11.988,0.0,2026-08-21T16:14:59,54101291738
2026-08-24,SPXC,2026-08-24T21:59:47Z,2026-08-24 11:58:40,207.2,207.2,207.2,207.2,209.14,203.515,363215,35.117,-0.193,2026-08-21T15:59:59,707251702
2026-08-24,MOD,2026-08-24T21:59:48Z,2026-08-24 11:14:20,196.07,197.68,197.68,205.5,206.0,193.17,2017243,68.048,0.002,2026-08-21T15:59:59,623508469
2026-08-24,SPY,2026-08-24T21:59:50Z,2026-08-24 21:59:23,764.09,763.47,765.72,764.8,765.22,762.08,31992131,12.633,0.0,2026-08-24T16:00:00,8792512202
2026-08-24,_SPX,2026-08-24T21:59:53Z,2026-08-24 21:59:45,7652.8599,7652.8599,7674.3701,7663.3799,7670.2998,7638.1699,0,12.523,0.0,2026-08-24T16:14:59,8776595679
2026-08-25,SPXC,2026-08-25T21:58:59Z,2026-08-25 11:14:55,200.9,200.9,200.9,206.72,211.53,199.45,447216,37.28,0.343,2026-08-24T15:59:59,9372251135
2026-08-25,MOD,2026-08-25T21:59:00Z,2026-08-25 11:12:47,188.0,188.37,188.37,194.42,195.695,183.9,1436567,71.042,0.776,2026-08-24T16:00:00,9353230339
2026-08-25,SPY,2026-08-25T21:59:02Z,2026-08-25 21:58:22,765.8819,765.91,763.47,766.18,766.78,763.0501,27344032,12.476,0.0,2026-08-25T16:00:00,16518235330
2026-08-25,_SPX,2026-08-25T21:59:04Z,2026-08-25 21:58:45,7677.2798,7677.2798,7652.8599,7676.6602,7686.1099,7650.9199,0,12.457,0.0,2026-08-25T16:14:59,16493696198
2026-08-27,SPXC,2026-08-27T01:03:23Z,2026-08-27 00:44:53,205.69,205.69,200.98,199.2,207.5599,202.545,319871,35.988,-0.255,2026-08-26T15:59:59,24148603644
2026-08-26,MOD,2026-08-27T01:03:24Z,2026-08-26 23:32:28,187.3,187.3,188.01,189.16,192.72,184.5,1699996,70.862,0.137,2026-08-26T16:00:00,24144525393
2026-08-27,SPY,2026-08-27T01:03:26Z,2026-08-27 01:02:51,766.08,766.08,766.08,764.76,767.35,763.93,28597023,12.305,0.0,2026-08-26T16:00:00,24211557881
2026-08-27,_SPX,2026-08-27T01:03:28Z,2026-08-27 01:02:46,7675.7002,7675.7002,7675.7002,7666.8799,7690.73,7657.4102,0,12.311,0.0,2026-08-26T16:14:59,24173375878
2026-08-28,SPXC,2026-08-28T05:36:14Z,2026-08-28 00:53:23,205.28,205.28,205.69,206.58,208.42,202.22,412463,36.137,0.0,2026-08-27T15:59:59,32547622172
2026-08-27,MOD,2026-08-28T05:36:16Z,2026-08-27 14:47:30,190.61,190.61,187.3,194.47,197.81,185.98,271383,72.036,1.174,2026-08-27T10:31:54,26847278065
2026-08-28,SPY,2026-08-28T05:36:18Z,2026-08-28 03:54:23,771.1,771.1,771.1,768.46,772.355,767.16,34509659,11.641,0.0,2026-08-27T15:59:59,32547630393
2026-08-28,_SPX,2026-08-28T05:36:20Z,2026-08-28 03:44:35,7730.9902,7730.9902,7730.9902,7710.3398,7741.27,7689.8901,0,11.56,0.0,2026-08-27T16:14:59,32612352950
2026-08-28,MOD,2026-08-29T03:22:18Z,2026-08-28 15:08:28,180.1951,180.1951,186.31,186.11,188.39,180.1512,146581,68.943,-0.366,2026-08-28T10:53:22,35614225227
2026-08-29,SPY,2026-08-29T03:22:20Z,2026-08-29 03:21:46,769.35,769.35,769.35,771.84,775.3,768.3076,36716936,11.386,0.0,2026-08-28T16:00:00,41667415748
2026-08-29,_SPX,2026-08-29T03:22:23Z,2026-08-29 03:21:58,7711.7598,7711.7598,7711.7598,7735.1699,7771.48,7700.9102,0,11.216,0.0,2026-08-28T16:14:59,41647421921
2026-08-31,SPXC,2026-09-01T00:46:58Z,2026-08-31 14:49:10,197.3075,197.3075,198.73,197.22,198.17,195.0,34179,37.954,2.041,2026-08-31T10:32:52,2319704056
2026-08-31,MOD,2026-09-01T00:47:00Z,2026-08-31 11:18:25,178.2,177.63,177.63,186.11,188.39,175.32,1453409,68.459,-0.012,2026-08-28T15:59:59,461395447
2026-09-01,SPY,2026-09-01T00:47:01Z,2026-09-01 00:46:33,767.05,767.05,767.05,767.27,767.995,764.715,38780997,11.767,0.0,2026-08-31T16:00:00,7403436330
2026-09-01,_SPX,2026-09-01T00:47:04Z,2026-09-01 00:46:50,7686.1401,7686.1401,7686.1401,7697.52,7697.52,7665.0601,0,11.755,0.0,2026-08-31T16:14:59,7390533098
